Table:CsvModel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tid,name:s,res:s,texReplace:s,selRadius:f,selHeight:f,selYOffset:f,halfWidth:f,originalHeight:f,attackDis1:f,attackDis2:f,attackDis3:f,scaleDelta:f,attackProcessType1:AttackProcessType,attackProcessType2:AttackProcessType,attackProcessType3:AttackProcessType,attackNode1:s,attackNode2:s,attackNode3:s,hurtNode1:s,otherNode1:s,otherNode2:s,otherNode3:s,deadSound:s,facePositionStr:s,faceRotationStr:s,l_conversationPositionStr:s,l_conversationRotationStr:s,r_conversationPositionStr:s,r_conversationRotationStr:s,delayDownload,replaceTid
257,伯瓦尔变乌瑟尔,wuseer_02,wuseer_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bip01 Prop2,Bip01 Prop2,Bip01 Prop2,shouchuang01,gongji02,,,,"-0.15,-2.1,1.5","0.28,156.3,3.1","0.18,-1.49,3.06","0,150,0","0.18,-1.32,3.06","0,195,0",228,4
258,提里奥弗丁变乌瑟尔,wuseer_03,wuseer_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.15,-2.1,1.5","0.28,156.3,3.1","0.18,-1.49,3.06","0,150,0","0.18,-1.32,3.06","0,195,0",229,4
259,图拉扬变乌瑟尔,wuseer_04,wuseer_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.15,-2.1,1.5","0.28,156.3,3.1","0.18,-1.49,3.06","0,150,0","0.18,-1.32,3.06","0,195,0",230,4
260,伯瓦尔变女伯爵,nvbojue_02,nvbojue_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bip01 Prop2,Bip01 Prop2,Bip01 Prop2,shouchuang01,gongji02,,,,"0,-2.06,1.2","0,160.52,0","0,-1.52,2.95","0,152,0","0,-1.52,2.95","0,196,0",231,4
261,提里奥弗丁变女伯爵,nvbojue_03,nvbojue_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-2.06,1.2","0,160.52,0","0,-1.52,2.95","0,152,0","0,-1.52,2.95","0,196,0",232,4
262,图拉扬变女伯爵,nvbojue_04,nvbojue_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-2.06,1.2","0,160.52,0","0,-1.52,2.95","0,152,0","0,-1.52,2.95","0,196,0",233,4
263,阿卡玛变萨尔,saer_02,saer_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.01,-2.04,1.39","0,156.13,0","0.09,-1.5,3.32","0,152,0","0.09,-1.5,3.32","0,209,0",234,4
264,霜狼变萨尔,saer_03,saer_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji02,gongji01,Bip01,,,,,"-0.01,-2.04,1.39","0,156.13,0","0.09,-1.5,3.32","0,152,0","0.09,-1.5,3.32","0,209,0",235,4
265,耐奥祖变萨尔,saer_04,saer_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bone15,Bone15,Bone15,Bip01,,,,,"-0.01,-2.04,1.39","0,156.13,0","0.09,-1.5,3.32","0,152,0","0.09,-1.5,3.32","0,209,0",236,4
266,阿卡玛变恐怖图腾,kongbututeng_02,kongbututeng_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-2,1.37","0,169.34,0","-0.044,-1.3,2.7","0,159,0","-0.044,-1.3,2.7","0,198,0",237,4
267,霜狼变恐怖图腾,kongbututeng_03,kongbututeng_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji02,gongji01,Bip01,,,,,"0.02,-2,1.37","0,169.34,0","-0.044,-1.3,2.7","0,159,0","-0.044,-1.3,2.7","0,198,0",238,4
268,耐奥祖变恐怖图腾,kongbututeng_04,kongbututeng_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bone15,Bone15,Bone15,Bip01,,,,,"0.02,-2,1.37","0,169.34,0","-0.044,-1.3,2.7","0,159,0","-0.044,-1.3,2.7","0,198,0",239,4
269,瓦斯琪变奥蕾莉亚,aoleiliya_02,aoleiliya_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.94,1.51","0,167.5,0","0,-1.41,2.89","0,163,0","0,-1.41,2.89","0,163,0",240,4
270,沃金变奥蕾莉亚,aoleiliya_03,aoleiliya_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通近战,普通远程2,普通远程2,gongji01,gongji01,gongji01,Bip01,,,,,"0,-1.94,1.51","0,167.5,0","0,-1.41,2.89","0,163,0","0,-1.41,2.89","0,163,0",241,4
271,希尔瓦娜斯变奥蕾莉亚,aoleiliya_04,aoleiliya_01,0.75,3.5,,0.5,1.95,1.6,1,1,-0.2,普通远程,普通远程2,普通远程3,Bip01 Prop1,Bip01 Prop1,Bip01 Prop1,Bip01,,,,,"0,-1.94,1.51","0,167.5,0","0,-1.41,2.89","0,163,0","0,-1.41,2.89","0,163,0",242,4
272,瓦斯琪变雷克萨,leikesa_02,leikesa_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.04,-1.9,1.6","0,163.87,0","-0.01,-1.45,3.08","0,164,0","-0.01,-1.45,3.08","0,205,0",243,4
273,沃金变雷克萨,leikesa_03,leikesa_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通近战,普通远程2,普通远程2,gongji01,gongji01,gongji01,Bip01,,,,,"0.04,-1.9,1.6","0,163.87,0","-0.01,-1.45,3.08","0,164,0","-0.01,-1.45,3.08","0,205,0",244,4
274,希尔瓦娜斯变雷克萨,leikesa_04,leikesa_01,0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,Bip01 Prop1,Bip01 Prop1,Bip01 Prop1,Bip01,,,,,"0.04,-1.9,1.6","0,163.87,0","-0.01,-1.45,3.08","0,164,0","-0.01,-1.45,3.08","0,205,0",245,4
275,迦罗娜变盗贼,daozei_02,"daozei_01,daozei_01_pifeng",0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,Bip01,,,,"-0.03,-1.36,1.35","0,169.51,0","0,-1.16,2.48","0,160,0","0,-1.16,2.48","0,184,0",246,4
276,玛维变盗贼,daozei_03,"daozei_01,daozei_01_pifeng",0.75,3.5,,0.5,1.95,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01,,,,"-0.03,-1.36,1.35","0,169.51,0","0,-1.16,2.48","0,160,0","0,-1.16,2.48","0,184,0",247,4
277,迦罗娜变马迪亚斯,madiyasixiaoer_02,madiyasixiaoer_01,0.75,3.5,,0.5,1.5,1,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,Bip01,,,,"-0.15,-2.1,1.28","0,149.76,0","-0.02,-1.45,3","0,149,0","-0.02,-1.45,3","0,149,0",248,4
278,玛维变马迪亚斯,madiyasixiaoer_03,madiyasixiaoer_01,0.75,3.5,,0.5,1.5,1,1,1,-0.2,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01,,,,"-0.15,-2.1,1.28","0,149.76,0","-0.02,-1.45,3","0,149,0","-0.02,-1.45,3","0,149,0",249,4
279,黑豹(娜迦换装),baozi_01,baozi_02,0.75,3.5,,0.5,1.5,1,1,1,-0.2,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.6,-0.8,2.37","0,149.76,0","-0.4,-0.8,2.58","0,147,0","0.7,-0.8,2.58","0,217.97,0",250,4
280,棕熊(娜迦换装),zongxiong_01,,0.75,3.5,,0.5,1.2,1,1,1,,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.25,-0.52,1.87","0,156.13,0","-0.4,-0.8,2.58","0,147,0","0.7,-0.8,2.58","0,217.97,0",251,4
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1013,魅魔,meimo_01,,1.8,3.5,,0.5,1.95,1,1,1,1,普通近战,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.03,-1.53,1.36","0,166.6199,0","-0.044,-1.18,2.45","0,152,0","-0.044,-1.18,2.45","0,191,0",,4
1025,地狱猎犬,diyuquan_01,,1.8,3.5,,0.5,1,1,1,1,1,普通远程,普通远程2,普通远程3,Bone10(mirrored),Bone10(mirrored),Bone10(mirrored),Bip01,Bone10(mirrored),Bone10,,,"-0.2,-0.59,1.4","0,140.9,0","0.05,-0.79,2.18","0,155,0","0.05,-0.79,2.18","0,226,0",,4
1027,小鬼,lieyanxiaogui_01,,1.8,3.5,,0.5,1,1,1,1,2,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.02,-0.69,1.32","0,149.1999,0","0.03,-0.84,2.14","0,145,0","0.01,-1.05,2.57","0,201,0",,4
1037,萨特,sate_01,,1.8,3.5,,0.5,1.95,1,1,1,1,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"-0.07,-1.49,1","0,145.68,0","-0.05,-1.1,2.54","0,145,0","-0.05,-1.1,2.74","0,195,0",,4
1042,先知,xianzhiweilun_01,,1.8,3.5,,0.5,1.95,1,1,1,1,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.09,-1.32,1.28","0,168.21,0","0.02,-1.05,2.39","0,149,0","0.02,-1.05,2.39","0,205,0",,4
1044,卡扎克,kazhake_01,,1.8,3.5,,0.5,1.95,1,1,1,1,普通近战,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-2.67,2.84","0,168.243,0","0.15,-2.26,5.06","0,154,0","0,-2.15,5.06","0,201,0",,4
1072,虚空行者,xukongxingzhe_01,,1.8,3.5,,0.5,1.95,1,1,1,1,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.36,1.25","0,168.243,0","0.05,-1.2,2","0,163,0","-0.1,-1.2,2","0,214,0",,4
1079,天灾首领,naiaozu_01,,1.8,3.5,,0.5,1.95,1,1,1,1,普通远程,普通远程2,普通远程3,Bone15,Bone15,Bone15,Bip01,,,,,"-0.08,-1.45,0.7","0,155.43,0","-0.05,-1.1,2.42","0,163.58,0","0,-1.1,2.42","0,210.1,0",,4
1095,逐日者,kaiersasi_01,,1.8,3.5,,0.5,1.95,1,1,1,1,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"0.01,-1.52,1.18","0,170.79,0","0,-1.1,2.52","0,165,0","0,-1.1,2.52","0,192,0",,4
1018,大范,fankelifu_01,,0.75,3.5,,0.5,1.95,1,1,1,1,普通近战,普通近战2,普通近战3,Bip01,Bip01,Bip01,Bip01,,,,,"0.02,-1.41,1.12","0,150.8799,0","-0.01,-1.02,2.32","0,151,0","-0.01,-1.02,2.32","0,195,0",,4
1039,影牙堡主,alugao_01,,0.75,3.5,,0.5,1.95,1,1,1,1,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,gongji01_1,,gongji01_1,,"0,-1.37,1.18","0,162.91,0","-0.044,-1.03,2.47","0,157,0","-0.044,-1.03,2.47","0,199,0",,4
1012,大检察官,huaitemaien_01,,0.75,3.5,,0.5,1.95,1,1,1,1,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,Bip01 L Hand,,,,"0,-1.42,0.74","0,158.09,0","-0.02,-1.06,2.09","0,161,0","-0.02,-1.06,2.09","0,195,0",,4
1063,血色指挥官,leinuomogelaini_01,,0.75,3.5,,0.5,1.95,1,1,1,1,普通近战,普通近战2,普通近战3,gongji01,gongji01,gongji01,Bip01,,,,,"0.02,-1.42,1.3","0,160.72,0","0.05,-0.99,2.47","0,156,0","0.05,-0.99,2.47","0,203,0",,4
1151,巫妖,laisishuangyu_01,,0.75,3.5,,0.5,1.95,1,1,1,1,普通远程,普通远程2,普通远程3,gongji01,gongji01,gongji01,Bip01,,,,,"0.05,-1.49,1.16","0,159.01,0","-0.01,-1.15,2.6","0,154.88,0","-0.01,-1.15,2.6","0,200,0",,4
1019,大帝,suoruisendadi_01,,0.75,3.5,,0.5,1.95,1,1,1,1,普通远程,普通远程2,普通远程3,Bip01,Bip01,Bip01,Bip01,,,,,"-0.03,-1.4,1.4","0,160.75,0","0.01,-1.05,2.498","0,164,0","0.01,-1.05,2.498","0,202,0",,4
1056,艾茉拉铜须,aimolatongxu_01,,0.75,3.5,,0.5,1.95,1,1,1,1,普通远程,普通远程2,普通远程3,Bip01 L Finger0,Bip01 L Finger0,Bip01 L Finger0,Bip01,,,,,"0.02,-1.1,0.93","0,167.9,0","0.02,-0.82,1.76","0,153,0","0.02,-0.82,1.76","0,210,0",,4
